#队伍编号,2026141323
#评审时间,2026-06-07 09:53:32
#NTP服务器,ntp.aliyun.com
#NTP已同步,是
#NTP同步时刻,2026-06-07 09:40:21
#随机种子,899156
#总分,31.0
序号,时间(NTP),测试编号,步骤描述,相关参数,下发帧原文,下发帧解析,收回帧原文,收回帧解析,得分,满分,结果
26,2026-06-07 09:49:58.857,C-01,发送查询时间(字符串),T_set=1780796997,,,A5B6000102010604026A24CE45149AB6A5,A5B6000102010604026A24CE45149AB6A5,1.0,1.0,通过
27,2026-06-07 09:49:59.575,D-00,设置DAC=2048(预备),dac=2048,A5B600010103010202080065B9B6A5,命令 命令字=0x0301,A5B600010203010102FFCC3CB6A5,执行成功(OK),0.0,0.0,--
28,2026-06-07 09:49:59.575,D-00,设置DAC=2048(预备)(字符串),dac=2048,,,A5B600010203010102FFCC3CB6A5,A5B600010203010102FFCC3CB6A5,0.0,0.0,--
29,2026-06-07 09:50:00.799,D-00,读取CH1数据(1/1),,A5B600010102020002515BB6A5,命令 命令字=0x0202,A5B600010202020402000000008157B6A5,CH1=0.0000,0.0,0.0,--
30,2026-06-07 09:50:00.799,D-00,读取CH1数据(1/1)(字符串),,,,A5B600010202020402000000008157B6A5,A5B600010202020402000000008157B6A5,0.0,0.0,--
31,2026-06-07 09:50:01.016,D-00,"DAC预备完成, 读CH1留痕","dac=2048, ch1=0.00",,,,"DAC设置成功, CH1=0.00",0.0,0.0,--
32,2026-06-07 09:50:01.729,D-01,设置CH0变比=1.0,k=1.0,A5B6000101024104023F800000493CB6A5,命令 命令字=0x0241,A5B600010202410102FFCC14B6A5,执行成功(OK),0.0,0.0,--
33,2026-06-07 09:50:01.729,D-01,设置CH0变比=1.0(字符串),k=1.0,,,A5B600010202410102FFCC14B6A5,A5B600010202410102FFCC14B6A5,0.0,0.0,--
34,2026-06-07 09:50:02.754,D-01,读取CH0数据(1/3),,A5B60001010201000251ABB6A5,命令 命令字=0x0201,A5B600010202010402000000008164B6A5,CH0=0.0000,0.0,0.0,--
35,2026-06-07 09:50:02.754,D-01,读取CH0数据(1/3)(字符串),,,,A5B600010202010402000000008164B6A5,A5B600010202010402000000008164B6A5,0.0,0.0,--
36,2026-06-07 09:50:03.686,D-01,读取CH0数据(2/3),,A5B60001010201000251ABB6A5,命令 命令字=0x0201,A5B600010202010402000000008164B6A5,CH0=0.0000,0.0,0.0,--
37,2026-06-07 09:50:03.686,D-01,读取CH0数据(2/3)(字符串),,,,A5B600010202010402000000008164B6A5,A5B600010202010402000000008164B6A5,0.0,0.0,--
38,2026-06-07 09:50:04.617,D-01,读取CH0数据(3/3),,A5B60001010201000251ABB6A5,命令 命令字=0x0201,A5B600010202010402000000008164B6A5,CH0=0.0000,0.0,0.0,--
39,2026-06-07 09:50:04.618,D-01,读取CH0数据(3/3)(字符串),,,,A5B600010202010402000000008164B6A5,A5B600010202010402000000008164B6A5,0.0,0.0,--
40,2026-06-07 09:50:05.537,D-01,设置CH0变比=2.5,k0=2.5,A5B60001010241040240200000BF25B6A5,命令 命令字=0x0241,A5B600010202410102FFCC14B6A5,执行成功(OK),0.0,0.0,--
41,2026-06-07 09:50:05.537,D-01,设置CH0变比=2.5(字符串),k0=2.5,,,A5B600010202410102FFCC14B6A5,A5B600010202410102FFCC14B6A5,0.0,0.0,--
42,2026-06-07 09:50:06.550,D-01,读取CH0数据(1/3),,A5B60001010201000251ABB6A5,命令 命令字=0x0201,A5B600010202010402000000008164B6A5,CH0=0.0000,0.0,0.0,--
43,2026-06-07 09:50:06.550,D-01,读取CH0数据(1/3)(字符串),,,,A5B600010202010402000000008164B6A5,A5B600010202010402000000008164B6A5,0.0,0.0,--
44,2026-06-07 09:50:07.478,D-01,读取CH0数据(2/3),,A5B60001010201000251ABB6A5,命令 命令字=0x0201,A5B600010202010402000000008164B6A5,CH0=0.0000,0.0,0.0,--
45,2026-06-07 09:50:07.478,D-01,读取CH0数据(2/3)(字符串),,,,A5B600010202010402000000008164B6A5,A5B600010202010402000000008164B6A5,0.0,0.0,--
46,2026-06-07 09:50:08.385,D-01,读取CH0数据(3/3),,A5B60001010201000251ABB6A5,命令 命令字=0x0201,A5B600010202010402000000008164B6A5,CH0=0.0000,0.0,0.0,--
47,2026-06-07 09:50:08.385,D-01,读取CH0数据(3/3)(字符串),,,,A5B600010202010402000000008164B6A5,A5B600010202010402000000008164B6A5,0.0,1.0,失败
48,2026-06-07 09:50:09.292,D-02,设置CH1变比=1.0,k=1.0,A5B6000101024204023F800000490FB6A5,命令 命令字=0x0242,A5B600010202420102FF8814B6A5,执行成功(OK),0.0,0.0,--
49,2026-06-07 09:50:09.292,D-02,设置CH1变比=1.0(字符串),k=1.0,,,A5B600010202420102FF8814B6A5,A5B600010202420102FF8814B6A5,0.0,0.0,--
