#队伍编号,2026141323
#评审时间,2026-06-07 11:41:53
#NTP服务器,ntp.aliyun.com
#NTP已同步,是
#NTP同步时刻,2026-06-07 10:49:30
#随机种子,7363656
#总分,35.0
序号,时间(NTP),测试编号,步骤描述,相关参数,下发帧原文,下发帧解析,收回帧原文,收回帧解析,得分,满分,结果
122,2026-06-07 11:38:50.139,H-01,等待5s上报帧(4/10),,,,A5B600010203020C026A24E7C800000000452078006D8FB6A5,"时间=11:38:48, CH0=0.0000, CH1=2567.5000",0.0,0.0,--
123,2026-06-07 11:38:50.140,H-01,等待5s上报帧(4/10)(字符串),,,,A5B600010203020C026A24E7C800000000452078006D8FB6A5,A5B600010203020C026A24E7C800000000452078006D8FB6A5,0.0,0.0,--
124,2026-06-07 11:38:55.089,H-01,等待5s上报帧(5/10),,,,A5B600010203020C026A24E7CD00000000452078003DB0B6A5,"时间=11:38:53, CH0=0.0000, CH1=2567.5000",0.0,0.0,--
125,2026-06-07 11:38:55.089,H-01,等待5s上报帧(5/10)(字符串),,,,A5B600010203020C026A24E7CD00000000452078003DB0B6A5,A5B600010203020C026A24E7CD00000000452078003DB0B6A5,0.0,0.0,--
126,2026-06-07 11:39:00.089,H-01,等待5s上报帧(6/10),,,,A5B600010203020C026A24E7D200000000452078000D3CB6A5,"时间=11:38:58, CH0=0.0000, CH1=2567.5000",0.0,0.0,--
127,2026-06-07 11:39:00.089,H-01,等待5s上报帧(6/10)(字符串),,,,A5B600010203020C026A24E7D200000000452078000D3CB6A5,A5B600010203020C026A24E7D200000000452078000D3CB6A5,0.0,0.0,--
128,2026-06-07 11:39:05.065,H-01,等待5s上报帧(7/10),,,,A5B600010203020C026A24E7D700000000452078005D03B6A5,"时间=11:39:03, CH0=0.0000, CH1=2567.5000",0.0,0.0,--
129,2026-06-07 11:39:05.066,H-01,等待5s上报帧(7/10)(字符串),,,,A5B600010203020C026A24E7D700000000452078005D03B6A5,A5B600010203020C026A24E7D700000000452078005D03B6A5,0.0,0.0,--
130,2026-06-07 11:39:10.052,H-01,等待5s上报帧(8/10),,,,A5B600010203020C026A24E7DC00000000452078006D70B6A5,"时间=11:39:08, CH0=0.0000, CH1=2567.5000",0.0,0.0,--
131,2026-06-07 11:39:10.052,H-01,等待5s上报帧(8/10)(字符串),,,,A5B600010203020C026A24E7DC00000000452078006D70B6A5,A5B600010203020C026A24E7DC00000000452078006D70B6A5,0.0,0.0,--
132,2026-06-07 11:39:15.035,H-01,等待5s上报帧(9/10),,,,A5B600010203020C026A24E7E10000000045207800FC7CB6A5,"时间=11:39:13, CH0=0.0000, CH1=2567.5000",0.0,0.0,--
133,2026-06-07 11:39:15.037,H-01,等待5s上报帧(9/10)(字符串),,,,A5B600010203020C026A24E7E10000000045207800FC7CB6A5,A5B600010203020C026A24E7E10000000045207800FC7CB6A5,0.0,0.0,--
134,2026-06-07 11:39:20.026,H-01,等待5s上报帧(10/10),,,,A5B600010203020C026A24E7E60000000045207800CC5AB6A5,"时间=11:39:18, CH0=0.0000, CH1=2567.5000",0.0,0.0,--
135,2026-06-07 11:39:20.026,H-01,等待5s上报帧(10/10)(字符串),,,,A5B600010203020C026A24E7E60000000045207800CC5AB6A5,A5B600010203020C026A24E7E60000000045207800CC5AB6A5,0.0,0.0,--
136,2026-06-07 11:39:20.026,H-01,5s上报收帧统计,收到10/10帧,,,,收到10帧,1.0,1.0,通过
137,2026-06-07 11:39:20.740,H-01,停止自动上报(切换间隔前),,A5B6000101030300026D0BB6A5,命令 命令字=0x0303,A5B600010203030102FF743DB6A5,执行成功(OK),0.0,0.0,--
138,2026-06-07 11:39:20.740,H-01,停止自动上报(切换间隔前)(字符串),,,,A5B600010203030102FF743DB6A5,A5B600010203030102FF743DB6A5,0.0,0.0,--
